"","종목코드","종목명","종가","대비","등락률","EPS","PER","BPS","PBR","주당배당금","배당수익률"
"1111","333050","신한제6호스팩",2080,5,0.24,NA,NA,NA,NA,0,0
"1112","366330","신한제7호스팩",2055,-5,-0.24,NA,NA,NA,NA,0,0
"1113","055550","신한지주",35100,-800,-2.23,7000,5.01,79682,0.44,1850,5.27
"1114","001770","신화실업",23800,50,0.21,793,30.01,28118,0.85,100,0.42
"1115","056700","신화인터텍",3230,-10,-0.31,327,9.88,3315,0.97,50,1.55
"1116","187270","신화콘텍",3440,-90,-2.55,NA,NA,4818,0.71,0,0
"1117","004080","신흥",11650,-100,-0.85,214,54.44,9162,1.27,200,1.72
"1118","243840","신흥에스이씨",46800,550,1.19,2446,19.13,15448,3.03,280,0.6
"1119","108320","실리콘웍스",76600,500,0.66,2370,32.32,29033,2.64,830,1.08
"1120","222800","심텍",22500,200,0.9,NA,NA,6678,3.37,160,0.71
"1121","036710","심텍홀딩스",2550,0,0,NA,NA,2910,0.88,10,0.39
"1122","160980","싸이맥스",22950,1050,4.79,312,73.56,9725,2.36,250,1.09
"1123","356890","싸이버원",18300,-350,-1.88,588,31.12,2703,6.77,0,0
"1124","217330","싸이토젠",59700,200,0.34,NA,NA,3181,18.77,0,0
"1125","102280","쌍방울",612,7,1.16,NA,NA,1083,0.57,0,0
"1126","003410","쌍용양회",6950,10,0.14,259,26.83,3566,1.95,42,0.6
"1127","010280","쌍용정보통신",1405,65,4.85,32,43.91,1095,1.28,0,0
"1128","003620","쌍용차",2770,0,0,NA,NA,2690,1.03,0,0
"1129","004770","써니전자",3215,-110,-3.31,20,160.75,1598,2.01,0,0
"1130","208640","썸에이지",2265,265,13.25,NA,NA,205,11.05,0,0
"1131","222420","쎄노텍",2260,-90,-3.83,NA,NA,869,2.6,0,0
"1132","037760","쎄니트",1800,-25,-1.37,62,29.03,2143,0.84,30,1.67
"1133","136510","쎄미시스코",6040,10,0.17,NA,NA,4633,1.3,0,0
"1134","099320","쎄트렉아이",59900,2200,3.81,992,60.38,8775,6.83,210,0.35
"1135","015540","쎌마테라퓨틱스",6830,-380,-5.27,NA,NA,346,19.74,0,0
"1136","049960","쎌바이오텍",18700,250,1.36,976,19.16,11022,1.7,600,3.21
"1137","050890","쏠리드",9110,60,0.66,121,75.29,2350,3.88,0,0
"1138","066790","씨씨에스",846,0,0,NA,NA,590,1.43,0,0
"1139","222080","씨아이에스",14200,0,0,212,66.98,926,15.33,0,0
"1140","004920","씨아이테크",965,25,2.66,NA,NA,1692,0.57,0,0
"1141","264660","씨앤지하이테크",13250,150,1.15,1432,9.25,8019,1.65,150,1.13
"1142","352700","씨앤투스성진",24950,-250,-0.99,NA,NA,1835,13.6,0,0
"1143","297090","씨에스베어링",30000,800,2.74,750,40,4781,6.27,0,0
"1144","112610","씨에스윈드",69300,3500,5.32,978,70.86,9360,7.4,460,0.66
"1145","115530","씨엔플러스",839,0,0,NA,NA,222,3.78,0,0
"1146","225330","씨엠에스에듀",6520,30,0.46,330,19.76,2079,3.14,425,6.52
"1147","115480","씨유메디칼",1895,-5,-0.26,NA,NA,2747,0.69,0,0
"1148","189330","씨이랩",39300,-1500,-3.68,27,1455.56,853,46.07,0,0
"1149","096530","씨젠",135100,-200,-0.15,1026,131.68,5815,23.23,100,0.07
"1150","101240","씨큐브",8330,80,0.97,659,12.64,5336,1.56,170,2.04
"1151","060590","씨티씨바이오",6700,0,0,NA,NA,3870,1.73,0,0
"1152","260930","씨티케이코스메틱스",18700,500,2.75,797,23.46,17056,1.1,300,1.6
"1153","013990","아가방컴퍼니",3190,-70,-2.15,NA,NA,4106,0.78,0,0
"1154","123860","아나패스",25450,-400,-1.55,NA,NA,5451,4.67,100,0.39
"1155","025980","아난티",7670,110,1.46,NA,NA,4451,1.72,0,0
"1156","008700","아남전자",3145,-40,-1.26,12,262.08,748,4.2,0,0
"1157","050320","아래스",990,0,0,NA,NA,60,16.5,0,0
"1158","058220","아리온",275,0,0,NA,NA,523,0.53,0,0
"1159","125210","아모그린텍",14800,550,3.86,109,135.78,2317,6.39,0,0
"1160","002790","아모레G",62500,-1200,-1.88,1444,43.28,35078,1.78,300,0.48
"1161","00279K","아모레G3우(전환)",40600,-350,-0.85,NA,NA,NA,NA,834,2.05
"1162","002795","아모레G우",21700,-350,-1.59,NA,NA,NA,NA,305,1.41
