"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1975","352940","인바이오","KOSDAQ","화학",12350,-300,-2.37,124542340000
"1976","079950","인베니아","KOSDAQ","기계·장비",2500,10,0.4,5.8e+10
"1977","277410","인산가","KOSDAQ","음식료·담배",1985,40,2.06,54752012830
"1978","060150","인선이엔티","KOSDAQ","기타서비스",12500,-50,-0.4,582045150000
"1979","033230","인성정보","KOSDAQ","컴퓨터서비스",2090,-70,-3.24,77731838030
"1980","037330","인지디스플레","KOSDAQ","IT부품",3290,0,0,144382386960
"1981","083640","인콘","KOSDAQ","통신장비",2400,5,0.21,102014311200
"1982","216050","인크로스","KOSDAQ","기타서비스",59600,2600,4.56,480183909200
"1983","049070","인탑스","KOSDAQ","IT부품",31900,-400,-1.24,5.4868e+11
"1984","119610","인터로조","KOSDAQ","의료·정밀기기",22400,150,0.67,261563411200
"1985","017250","인터엠","KOSDAQ","일반전기전자",1500,20,1.35,31568200500
"1986","035080","인터파크","KOSDAQ","유통",4905,20,0.41,398232844515
"1987","051370","인터플렉스","KOSDAQ","IT부품",11950,0,0,278763290400
"1988","064290","인텍플러스","KOSDAQ","반도체",26350,1600,6.46,332338373700
"1989","189300","인텔리안테크","KOSDAQ","일반전기전자",61200,1000,1.66,462753885600
"1990","150840","인트로메딕","KOSDAQ","의료·정밀기기",2415,-20,-0.82,75757163790
"1991","048530","인트론바이오","KOSDAQ","제약",29000,-400,-1.36,966893495000
"1992","175140","인포마크","KOSDAQ","통신장비",5890,-270,-4.38,28625417670
"1993","115310","인포바인","KOSDAQ","통신서비스",20400,150,0.74,65134813200
"1994","039290","인포뱅크","KOSDAQ","통신서비스",11300,300,2.73,98241951400
"1995","041020","인프라웨어","KOSDAQ","소프트웨어",2475,110,4.65,92721321000
"1996","071200","인피니트헬스케어","KOSDAQ","소프트웨어",7210,0,0,175898462180
"1997","101930","인화정공","KOSDAQ","운송장비·부품",6900,20,0.29,64388764500
"1998","068330","일신바이오","KOSDAQ","기계·장비",5250,120,2.34,232134735000
"1999","058450","일야","KOSDAQ","IT부품",685,0,0,21741900000
"2000","019540","일지테크","KOSDAQ","운송장비·부품",3685,5,0.14,49797247500
"2001","094820","일진파워","KOSDAQ","건설",5620,20,0.36,84742344580
"2002","950140","잉글우드랩","KOSDAQ","화학",6500,90,1.4,129141129000
"2003","049550","잉크테크","KOSDAQ","화학",7600,600,8.57,121751483200
"2004","254120","자비스","KOSDAQ","기계·장비",2135,-95,-4.26,43413305635
"2005","221610","자안","KOSDAQ","화학",382,15,4.09,107448301050
"2006","043910","자연과환경","KOSDAQ","기타서비스",1530,50,3.38,83344736520
"2007","234920","자이글","KOSDAQ","일반전기전자",3800,-80,-2.06,51417458000
"2008","289220","자이언트스텝","KOSDAQ","오락·문화",28600,6600,30,269639799000
"2009","174880","장원테크","KOSDAQ","통신장비",992,101,11.34,71425295552
"2010","049630","재영솔루텍","KOSDAQ","IT부품",960,-2,-0.21,70590683520
"2011","110020","전진바이오팜","KOSDAQ","화학",9630,180,1.9,58184777790
"2012","065530","전파기지국","KOSDAQ","통신서비스",4455,-50,-1.11,235491300000
"2013","208140","정다운","KOSDAQ","음식료·담배",3250,305,10.36,105721928000
"2014","022220","정산애강","KOSDAQ","화학",2115,40,1.93,109545534585
"2015","040420","정상제이엘에스","KOSDAQ","기타서비스",6390,20,0.31,100179557280
"2016","045510","정원엔시스","KOSDAQ","컴퓨터서비스",1900,0,0,61197654800
"2017","065620","제낙스","KOSDAQ","금속",15950,0,0,78982709300
"2018","217190","제너셈","KOSDAQ","반도체",5080,0,0,44547403920
"2019","095700","제넥신","KOSDAQ","기타서비스",97700,-100,-0.1,2418227802800
