"","Price"
"2020-01-22",11350
"2020-01-23",11250
"2020-01-28",11000
"2020-01-29",10950
"2020-01-30",10950
"2020-01-31",10850
"2020-02-03",10750
"2020-02-04",10850
"2020-02-05",10850
"2020-02-06",11000
"2020-02-07",10900
"2020-02-10",10900
"2020-02-11",11000
"2020-02-12",11000
"2020-02-13",11100
"2020-02-14",11050
"2020-02-17",11100
"2020-02-18",11000
"2020-02-19",10850
"2020-02-20",10800
"2020-02-21",10750
"2020-02-24",10350
"2020-02-25",10550
"2020-02-26",10450
"2020-02-27",10300
"2020-02-28",9960
"2020-03-02",10050
"2020-03-03",9990
"2020-03-04",10000
"2020-03-05",10150
"2020-03-06",10100
"2020-03-09",9940
"2020-03-10",9930
"2020-03-11",9760
"2020-03-12",9300
"2020-03-13",8550
"2020-03-16",8300
"2020-03-17",7910
"2020-03-18",7680
"2020-03-19",6870
"2020-03-20",7010
"2020-03-23",6670
"2020-03-24",6920
"2020-03-25",7400
"2020-03-26",7590
"2020-03-27",7810
"2020-03-30",7860
"2020-03-31",8300
"2020-04-01",8320
"2020-04-02",8350
"2020-04-03",8400
"2020-04-06",8620
"2020-04-07",8760
"2020-04-08",8790
"2020-04-09",9010
"2020-04-10",9020
"2020-04-13",8850
"2020-04-14",9010
"2020-04-16",9020
"2020-04-17",9060
"2020-04-20",9090
"2020-04-21",8920
"2020-04-22",8860
"2020-04-23",8950
"2020-04-24",8840
"2020-04-27",8870
"2020-04-28",8900
"2020-04-29",8960
"2020-05-04",8850
"2020-05-06",8990
"2020-05-07",9060
"2020-05-08",9150
"2020-05-11",9190
"2020-05-12",9050
"2020-05-13",8930
"2020-05-14",8780
"2020-05-15",8390
"2020-05-18",8470
"2020-05-19",8760
"2020-05-20",8970
"2020-05-21",8940
"2020-05-22",8800
"2020-05-25",8780
"2020-05-26",8950
"2020-05-27",8820
"2020-05-28",8790
"2020-05-29",8740
"2020-06-01",8800
"2020-06-02",8810
"2020-06-03",8880
"2020-06-04",9100
"2020-06-05",9160
"2020-06-08",9210
"2020-06-09",9160
"2020-06-10",9130
"2020-06-11",9080
"2020-06-12",8800
"2020-06-15",8480
"2020-06-16",8640
"2020-06-17",8730
"2020-06-18",8800
"2020-06-19",8680
"2020-06-22",8570
"2020-06-23",8570
"2020-06-24",8690
"2020-06-25",8620
"2020-06-26",8750
"2020-06-29",8730
"2020-06-30",8860
"2020-07-01",8670
"2020-07-02",8890
"2020-07-03",8830
"2020-07-06",8890
"2020-07-07",8850
"2020-07-08",8950
"2020-07-09",9120
"2020-07-10",8930
"2020-07-13",8980
"2020-07-14",8950
"2020-07-15",9080
"2020-07-16",9120
"2020-07-17",9280
"2020-07-20",9240
"2020-07-21",9390
"2020-07-22",9200
"2020-07-23",9020
"2020-07-24",9020
"2020-07-27",9130
"2020-07-28",9100
"2020-07-29",9460
"2020-07-30",9320
"2020-07-31",9360
"2020-08-03",9470
"2020-08-04",9410
"2020-08-05",9400
"2020-08-06",9300
"2020-08-07",9250
"2020-08-10",9190
"2020-08-11",9210
"2020-08-12",9240
"2020-08-13",9250
"2020-08-14",8880
"2020-08-18",8690
"2020-08-19",8680
"2020-08-20",8460
"2020-08-21",8700
"2020-08-24",8710
"2020-08-25",8900
"2020-08-26",9050
"2020-08-27",8880
"2020-08-28",8950
"2020-08-31",9070
"2020-09-01",9030
"2020-09-02",9100
"2020-09-03",9050
"2020-09-04",8990
"2020-09-07",9060
"2020-09-08",9150
"2020-09-09",9070
"2020-09-10",9090
"2020-09-11",9110
"2020-09-14",9150
"2020-09-15",9140
"2020-09-16",9280
"2020-09-17",9230
"2020-09-18",9140
"2020-09-21",9090
"2020-09-22",8830
"2020-09-23",8930
"2020-09-24",8880
"2020-09-25",8900
"2020-09-28",8980
"2020-09-29",9070
"2020-10-05",9170
"2020-10-06",9170
"2020-10-07",9180
"2020-10-08",9220
"2020-10-12",9400
"2020-10-13",9560
"2020-10-14",9550
"2020-10-15",9400
"2020-10-16",9290
"2020-10-19",9270
"2020-10-20",9450
"2020-10-21",9450
"2020-10-22",9370
"2020-10-23",9390
"2020-10-26",9360
"2020-10-27",9260
"2020-10-28",9330
"2020-10-29",9200
"2020-10-30",9170
"2020-11-02",9220
"2020-11-03",9260
"2020-11-04",9270
"2020-11-05",9370
"2020-11-06",9310
"2020-11-09",9370
"2020-11-10",9530
"2020-11-11",9570
"2020-11-12",9700
"2020-11-13",9700
"2020-11-16",9820
"2020-11-17",10000
"2020-11-18",9970
"2020-11-19",9970
"2020-11-20",9890
"2020-11-23",9950
"2020-11-24",10000
"2020-11-25",9980
"2020-11-26",10000
"2020-11-27",10000
"2020-11-30",10100
"2020-12-01",10000
"2020-12-02",10050
"2020-12-03",10050
"2020-12-04",10100
"2020-12-07",10000
